"","gene_id","gene_symbol","fold_change","fdr_pvalue"
"50","51493","RTCB",0.522296470276604,0.0240541578725655
"51","2079","ERH",-0.318150909614193,0.41470855817486
"52","23","ABCF1",-0.113498094317881,0.523529712448898
"53","1603","DAD1",0.00440185776046498,0.98640214329801
"54","7528","YY1",0.379525659079914,0.106231593717364
"55","10899","JTB",-0.11060011617923,0.485363328011992
"56","11143","KAT7",-0.241573277914307,0.184986932782541
"57","7705","ZNF146",-0.404623991105856,0.146211596558267
"58","9092","SART1",0.0434927213387777,0.913327418798094
"59","3608","ILF2",-0.148917408365655,0.463344872928553
"60","9552","SPAG7",0.059534835677864,0.768156870753552
"61","8882","ZPR1",0.160313594047404,0.244516109655194
"62","6881","TAF10",0.129947245918581,0.351753564668741
"63","10438","C1D",-0.0464381577140696,0.928593248545812
"64","4841","NONO",-0.287483949644439,0.287071919230588
"65","387","RHOA",0.0353717618296709,0.846481123348862
"66","10921","RNPS1",-0.215561659510239,0.15746633834377
"67","6229","RPS24",-0.893600550989037,0.198051994680655
"68","6156","RPL30",-0.555810582940859,0.333976055852006
"69","4869","NPM1",-0.203938077334184,0.540198044981535
"70","3326","HSP90AB1",-0.351625359303302,0.173787979361924
"71","3550","IK",-0.0486183049893967,0.797387125640117
"72","821","CANX",-0.287890080784877,0.129882684941433
"73","9733","SART3",-0.0566029764658076,0.815390374602669
"74","27013","CNPPD1",-0.0286778844079354,0.93350511509925
"75","10285","SMNDC1",0.0401894099091056,0.870573107552951
"76","4670","HNRNPM",-0.276361718367633,0.234719003297784
"77","3184","HNRNPD",-0.262208316321033,0.175916589887923
"78","9045","RPL14",-0.0268390554258149,0.913555362412574
"79","2987","GUK1",-0.117228443214966,0.702837148979524
"80","79036","KXD1",-0.0144835098251619,0.924980281294234
"81","4946","OAZ1",0.0332286424152741,0.838725252561401
"82","533","ATP6V0B",0.116479085805747,0.583272444132995
"83","3735","KARS",-0.0192997296163906,0.935482165166234
"84","6194","RPS6",-0.86547940911915,0.0121559860104038
"85","6201","RPS7",-0.824588760816638,0.353419856368154
"86","23326","USP22",-0.288473967471838,0.0332422889734778
"87","10944","C11orf58",0.146026503266102,0.611395070711472
"88","6923","ELOB",-0.187524896409466,0.532961314929437
"89","1327","COX4I1",-0.456251765599355,0.0273379061109543
"90","10959","TMED2",-0.39855415982635,0.293502303967733
"91","2339","FNTA",-0.141875620740699,0.511784040319662
"92","6230","RPS25",-0.803173560179268,0.0662899100815047
"93","6167","RPL37",-0.563391419110923,0.299271007959974
"94","3094","HINT1",-0.51059917243485,0.49340415258394
"95","1938","EEF2",-0.618571890694087,0.00409539538525106
"96","8992","ATP6V0E1",0.535065447163943,0.0342043102366603
"97","3190","HNRNPK",-0.175460768269881,0.305590144248084
"98","51433","ANAPC5",-0.179468454411233,0.693967531753734
"99","3192","HNRNPU",0.0973676159781478,0.652497777211104
"100","8661","EIF3A",-0.55563534914276,0.0280404725729229
"101","4478","MSN",-0.152584901494029,0.443402775252784
"102","81","ACTN4",0.088478407336078,0.779460794656706
"103","351","APP",-0.369635291264677,0.276705613719117
"104","5573","PRKAR1A",0.267896580401548,0.597922992313292
"105","1832","DSP",-0.360181653405324,0.270245216395425
"106","5885","RAD21",-0.00728773630776836,0.989540010570514
"107","9948","WDR1",-0.209440500871469,0.730453161993295
"108","4691","NCL",-0.395083583677113,0.0706076031677851
"109","163","AP2B1",-0.225317099955795,0.16175908706256
"110","1173","AP2M1",-0.245523583698059,0.173853147307523
"111","1213","CLTC",-0.280321898593932,0.0503112501456906
