"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"13788","ZSWIM5",29.2183594070987,-0.20684303189692,0.333247371496222,-0.620689162432792,0.534804161455006,0.602502998864569
"13789","CCNE1",45.9525944601296,-1.51406103203657,0.260076191507293,-5.82160567355937,5.82849347457667e-09,2.84657877389804e-08
"13790","TMEM263",506.259443021023,-0.419604373458284,0.114796496291365,-3.65520191829971,0.000256979638713748,0.000622177070742288
"13791","PABPC4",2689.41929784377,-0.226448062919994,0.0775215489812817,-2.92109827390926,0.00348799784235149,0.00682368754585216
"13792","ITGA5",820.619992536641,0.943514374760411,0.11902171785498,7.92724547893031,2.24060109934938e-15,2.34624754277524e-14
"13793","XRCC1",944.221985017516,-0.0691775662806225,0.108927078145615,-0.635081445847147,0.525375297381677,0.593590406652892
"13794","PDZD11",514.616239260669,-0.835214434001971,0.101306487864229,-8.24443183857408,1.65946820009967e-16,1.9507850790936e-15
"13795","TEKT1",4082.67537833831,-0.0811797251944505,0.0968639368721534,-0.838079968828814,0.401985792170584,0.473592477285721
"13796","USP19",2716.01756985746,0.278071543353071,0.0700815823766074,3.96782626651833,7.25311766158774e-05,0.000194370121631178
"13797","EPHA2",9746.75994862896,0.291119823670539,0.0854869199339638,3.40543119222708,0.000660596583288694,0.00148464778067264
"13798","TMEM187",213.903220887561,0.158489087900864,0.138592463804356,1.14356209241359,0.252805290132531,0.316822148913818
"13799","VWC2L",12.9219549888807,0.653569189630402,0.439368812596014,1.4875183920515,0.136877949303308,0.185308336080846
"13800","INCENP",531.835382288563,-0.206582889977759,0.122696427133918,-1.68369116202774,0.0922413702563369,0.131096530051017
"13801","AQP6",23.2858436207742,0.780328129250834,0.360481425519567,2.16468332071795,0.0304119452619782,0.0486389511891944
"13802","ZDHHC14",87.9431155005756,-0.133560239447943,0.179634838766402,-0.743509668642983,0.45717317002853,0.527403774193467
"13803","TOM1L1",926.815021170567,-0.831595549790987,0.108919725358464,-7.63493983347956,2.25925909044131e-14,2.10519886012725e-13
"13804","HERC4",870.682393806685,-0.232303362175072,0.115301904065278,-2.01474003450589,0.0439318950820917,0.0676533418892146
"13805","NEK2",792.487317965124,-2.03790318510076,0.157159759098406,-12.9670801023863,1.88058676442971e-38,1.22035744699831e-36
"13806","ZFYVE19",669.064643362152,0.443900560308186,0.0942645601857267,4.70909278559813,2.48821790829216e-06,8.42860518513478e-06
"13807","CYP2U1",130.338113139834,0.0486565382783313,0.17529715182453,0.277566051541076,0.781345495382261,0.822569360149385
"13808","MGC12916",82.4896018657104,0.0756442252740011,0.154636222728293,0.489175329941379,0.624717573625412,0.685805492939867
"13809","OSTC",638.925314065398,-1.22886281323655,0.168932902317851,-7.27426567812359,3.48309894001585e-13,2.84446527996441e-12
"13810","EP300",4529.5937858148,0.425708823146607,0.0867470693091127,4.90747210870773,9.22577702076363e-07,3.33265649694135e-06
"13811","CYP4F11",896.050686880345,0.646275419880139,0.0860080134474711,7.51413029990337,5.72905027708551e-14,5.07375070744825e-13
"13812","POGK",1182.26927586269,0.00204501541460877,0.0701310775427157,0.0291599029454978,0.976737060438005,0.98066759186834
"13813","ZBTB34",446.760929941318,0.198820058836844,0.0943939523741183,2.10627962741561,0.035180069889431,0.0554504728646069
"13814","CITED4",523.797092159318,0.231773741479689,0.118622679583971,1.95387376421235,0.0507161479777547,0.0766969774674561
"13815","FAM104A",655.401250504581,-0.29305366096653,0.0758983802870841,-3.86113194850879,0.00011286292867806,0.000292695240304697
"13816","MRPS2",835.290934382423,-0.1561288062512,0.0818280774393766,-1.90801019817275,0.056389898197795,0.0843255365113457
