"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3573","CEP250",1727.74049039746,0.114470672616136,0.0884409674695637,1.2943172818132,0.195555849479725,0.425227452715417
"3574","CYP39A1",170.242133072337,-0.0296366032502011,0.167078333752131,-0.177381486783131,0.859208748135939,0.937408189796
"3575","CMSS1",145.480317791572,0.0603215430357936,0.142930204358247,0.422034959696839,0.672999500187308,0.840436293338845
"3576","IGFBP7",6264.26039415448,0.455571922170542,0.071875859107793,6.33831619998191,2.3228972930389e-10,1.24498691583578e-08
"3577","RIOK2",408.512045379192,-0.0566222141490717,0.187647150565342,-0.301748329129862,0.762843923116249,0.889533796246192
"3578","XYLT1",27.7748471927914,-0.123208871226379,0.283103249246071,-0.435208255484511,0.663411270826508,0.834656972711736
"3579","ZNF124",352.485324641036,-0.0193897960436954,0.141748889499319,-0.136789756252648,0.891196980855244,0.950917887286911
"3580","ZNF43",318.907489830291,-0.0423879013895258,0.139806601367846,-0.303189555963803,0.761745407798478,0.888682505341162
"3581","CEBPD",2137.54192800439,-0.0201134721182189,0.117347632959067,-0.171400748451694,0.863908666308552,0.939053730199883
"3582","ZC3HC1",303.446283701507,-0.0441402702688764,0.0981886479762728,-0.449545555200464,0.653038153278436,0.827868166105321
"3583","C11orf80",314.645811013566,-0.174008298063101,0.0986603362758283,-1.76371077407054,0.07778068624856,0.233132624420653
"3584","ARSK",120.79952820553,-0.239325258301413,0.180408959591678,-1.3265708024872,0.184650699573038,0.410016920902476
"3585","PRR13",2056.0846356137,0.27562080248561,0.0707557338716921,3.89538469045376,9.80429970366753e-05,0.00122944558935678
"3586","RPL4",19634.0823291797,-0.0264870786462947,0.0792518915309587,-0.334213835589626,0.73821820439932,0.875621912967993
"3587","FAHD2B",35.7346373749139,-0.256807214161216,0.258565056647853,-0.993201546607162,0.3206117448001,0.568699569834694
"3588","DNAH7",3584.68398119302,0.244774122957666,0.128275679628799,1.90818808106095,0.0563669115644101,0.187040948692634
"3589","C12orf73",85.9578980922749,0.0078503243794858,0.171511061134987,0.0457715340779523,0.963492347537931,0.985001607998686
"3590","ZYX",4407.59892995142,-0.0403666070613403,0.11267509074009,-0.358256707815348,0.720151212943449,0.866309531226006
"3591","FANCA",458.614414738572,-0.0419563547814841,0.121135733095508,-0.346358202566076,0.729073532850489,0.87128772763064
"3592","KLK13",921.502166316297,0.591599362521324,0.14598583267643,4.05244366302704,5.06854315262262e-05,0.000695890777624307
"3593","MAP9",1242.95324327345,0.267387186648231,0.159687497311141,1.67444033597223,0.0940440910765703,0.26580313319708
"3594","STEAP2",1059.14680782423,-0.0745706682509656,0.11071343018364,-0.673546724433302,0.500599533550657,0.726477666698326
"3595","IL20RB",2986.15342468433,-0.251851844750037,0.0875855874146846,-2.87549415587766,0.00403395613228461,0.0258641467391629
"3596","B3GNT4",10.8189352859783,-0.294385090556314,0.573730525263682,-0.513106898784959,0.607876546023548,0.800708310350152
"3597","SPAG4",104.573989118871,0.193802268788947,0.203743935705058,0.951205090440081,0.341500274858695,0.588228826420377
"3598","KCTD2",704.945576522161,-0.452595068055488,0.0725868311935895,-6.23522284432578,4.5113541584158e-10,2.24342976035859e-08
"3599","BCDIN3D",236.910036617086,-0.490774791002633,0.131149350577472,-3.74210614724108,0.000182484399371473,0.00204707887077875
"3600","TADA2A",315.505327442525,0.0491337523319282,0.0975349228229685,0.50375548480321,0.614433212842932,0.80487580547208
"3601","BCAS1",1842.51132029419,-0.0236253276466986,0.067814434687669,-0.348381989107615,0.72755332694815,0.870621367259297
"3602","ZNF44",213.218135655842,0.144968011637353,0.131656953823402,1.10110409991565,0.270851352858378,0.515257105114786
"3603","IL1RAP",1084.41348290171,-0.222803125852037,0.0861523551859065,-2.58615246642131,0.00970539888647825,0.0514834410873265
"3604","ALDH16A1",2015.89666539065,0.0780689384554837,0.0908134527498991,0.859662705155436,0.38997499869694,0.632234842722767
"3605","PLEKHN1",211.342170292571,-0.119618931750609,0.148290926678643,-0.806650375918358,0.4198679417165,0.660202141715121
"3606","HNRNPK",12923.6122801002,0.073326933426838,0.0507070870976465,1.44608845871254,0.148152392415634,0.357344819294293
"3607","MDM4",1064.66112245463,-0.0297235166631545,0.0937989858957555,-0.316885266714803,0.751330661815942,0.883026419034982
"3608","VBP1",361.28664365144,0.0137410444266994,0.259199854292847,0.0530133184842556,0.957721296020457,0.982214980251882
"3609","PFKFB3",4540.33359874597,0.826772517321965,0.0926161716159401,8.92686992883292,4.38232199893601e-19,6.60589392152114e-17
"3610","SDHAF2",749.901553507037,0.0357611703697695,0.09611700168878,0.372058738219504,0.70984911663993,0.860536698240465
"3611","USP1",581.427719440761,-0.27624068445285,0.168549704684415,-1.63892713410605,0.101228435895609,0.279722544126046
"3612","PCCA",579.030956660944,0.00167915822748693,0.0737538628615009,0.0227670546645149,0.981836087778461,0.992906361230409
"3613","TMEM242",349.401526677106,-0.0734535865514042,0.0933590821564769,-0.786785654429318,0.431407352638621,0.670630121391502
"3614","SOX21",1158.22740188659,-0.951846047397631,0.0892568954309836,-10.6641178006648,1.49814000933751e-26,3.44120382144811e-24
"3615","CMPK2",2831.92597462079,0.530977189584645,0.263508251738638,2.01503059612454,0.0439014433490341,0.157446787287205
"3616","CANT1",2285.03630192506,-0.130620101332628,0.0848267995961497,-1.53984474192702,0.123598202891225,0.318122121320755
"3617","HEATR5A",3054.94742051844,0.329633626172313,0.110385589231249,2.98620162711418,0.002824663354125,0.0193815568504234
"3618","MAMLD1",71.8765639841332,-0.42903473220657,0.212153413548606,-2.02228531245515,0.043146885092665,0.15586085226559
"3619","NAPA-AS1",33.1071349960581,0.140599108535794,0.239184447528481,0.587827135035825,0.556648328559235,0.767786874768429
"3620","DTYMK",304.188160967546,0.00562501325502749,0.115887768737078,0.0485384550615461,0.961287117837498,0.984207293209738
"3621","LYPD3",561.793503798567,-0.591933779734255,0.129382971361636,-4.57505167414768,4.76102460392557e-06,9.28528127269635e-05
"3622","WSB2",2072.63858994083,-0.0607433996396983,0.059124758011571,-1.02737671463806,0.304243111691735,0.552409293512057
"3623","TMIE",25.792492054347,0.4260814872733,0.457674264748538,0.930971042270432,0.351868543610549,0.598612434659081
"3624","A1BG",8.15305295273854,-0.227265784811934,0.604031709991177,-0.376248102629005,0.706732457443935,0.858700704590359
"3625","ZNF408",250.834069831653,-0.127044415894731,0.127874465279449,-0.993508873074042,0.320462028532512,0.568661627860364
"3626","RALA",957.344430972551,-0.00563006622079366,0.0972765583175409,-0.0578769059901912,0.953846678629584,0.980543815191355
"3627","AK6",81.8785219874009,0.143748268852939,0.376272361616663,0.382032494322253,0.70243726236953,0.856717623510723
"3628","NUBPL",293.756040040624,0.238915921036837,0.143943723450374,1.65978700084971,0.0969573097313806,0.271229311641757
"3629","PLK3",256.272522824109,0.457166589893773,0.137052768929131,3.33569758178451,0.000850856672457351,0.00739504318746566
"3630","LETMD1",659.953759911354,-0.115914117968022,0.0835743334813318,-1.38695832966366,0.165454469700496,0.383147964640082
"3631","UBE2K",1249.65105202827,-0.121733593186327,0.129796248897352,-0.937882213241761,0.348304944866614,0.595290050450547
"3632","RPP25L",382.324057820367,-0.017286682009935,0.107772238917264,-0.160400138139525,0.872565880808494,0.943714563615823
"3633","OSCAR",18.3689210988649,-0.495616665729999,0.365108965724682,-1.35744863111285,0.174638704999939,0.396464447460691
"3634","SSUH2",12.0110929800906,1.41217158836475,0.473585793382796,2.98187067284617,0.00286492994581433,0.0195650784548746
"3635","ZNF530",61.6870433463523,-0.361834020291074,0.197343121462178,-1.83352739943572,0.0667241777443709,0.209716574979819
"3636","EGR2",70.7017788811811,2.09530770111639,0.273835785946368,7.65169422205016,1.98348442979536e-14,1.87316717327191e-12
"3637","HIC2",158.922935581858,-0.371913167913805,0.172737286260701,-2.15305667910344,0.0313142243318485,0.123037779067657
"3638","MX2",9982.14283439673,0.218835568344269,0.2117031476384,1.03369066915364,0.301280796589868,0.549235878993698
"3639","DGCR11",84.2162731232903,0.229636156607383,0.181646934032648,1.26418955447996,0.206161999091933,0.439506524581522
"3640","ADPGK-AS1",10.5726946337448,-0.224286980462331,0.564030486255606,-0.397650456717848,0.690887861901745,0.849839339532287
"3641","LNP1",35.3962634734778,0.138380087939819,0.273244147549227,0.506433858441156,0.612552110665103,0.803794123452548
