"","x"
"568","ASB2"
"569","ACSBG1"
"570","DLEC1"
"571","TAF9B"
"572","SBK1"
"573","SGSM2"
"574","LOC653712"
"575","SLC44A1"
"576","MYL6"
"577","PABPC1"
"578","CTBS"
"579","PLA2G4B"
"580","LAMTOR2"
"581","UMPS"
"582","PAPLN"
"583","DYNLT3"
"584","AGBL3"
"585","BCL2L12"
"586","LINC00319"
"587","CD180"
"588","LINC00235"
"589","PPP1R15B"
"590","SRSF9"
"591","PITPNB"
"592","LEPROT"
"593","CLK3"
"594","TMEM171"
"595","TMC4"
"596","DYDC2"
"597","MRPS22"
"598","PLIN1"
"599","FANCB"
"600","TLN1"
"601","PRICKLE1"
"602","RAB5A"
"603","TRIM27"
"604","STAMBP"
"605","ABCD2"
"606","BTBD3"
"607","ZNF785"
"608","SH3YL1"
"609","CABP4"
"610","ALDH16A1"
"611","ADRA2A"
"612","MAGI1"
"613","IPO7"
"614","KCTD1"
"615","SLC9A7"
"616","KIZ"
"617","PCDHB14"
"618","B4GALT1"
"619","NAV2-AS2"
"620","PPP1R1C"
"621","TNFRSF10A"
"622","ELFN1"
"623","TRIM23"
"624","HERC2P9"
"625","CDC37L1"
"626","MYOF"
"627","SERPINB4"
"628","PHRF1"
"629","PDCD11"
"630","TMPRSS11E"
"631","TMEM158"
"632","SUMF1"
"633","CAMK4"
"634","DCST2"
"635","GLRX3"
"636","GSG1L"
"637","COG7"
"638","CES1P1"
"639","PMM1"
"640","ZNF222"
"641","AIDA"
"642","LPCAT1"
"643","DNAH12"
"644","CCAT1"
"645","GDF5"
"646","DUSP18"
"647","ABLIM1"
"648","B3GNT6"
"649","CTDNEP1"
"650","WDR34"
"651","ZNF77"
"652","TRIM26"
"653","CSNK1A1"
"654","ZNF90"
"655","TERF1"
"656","NUP85"
"657","COX6B2"
"658","LGALS7B"
"659","SEMA4C"
"660","BNC2"
"661","MAPK7"
"662","ANO6"
"663","TOB1"
"664","NDUFAF3"
"665","FOXK1"
"666","ANKRD39"
"667","ANKRD1"
"668","MRPL16"
"669","PTPN9"
"670","HIST2H2AB"
"671","ALPL"
"672","ENGASE"
"673","KLHDC4"
"674","RAB3GAP2"
"675","RASEF"
"676","FKBPL"
"677","IL1RAP"
"678","LINC01311"
"679","PRDM2"
"680","NME9"
"681","NUDT12"
"682","RSL1D1"
"683","MYOM1"
"684","TRPV4"
"685","TRIM21"
"686","LYG1"
"687","PLEKHA3"
"688","XPO5"
"689","ZNF343"
"690","SACS"
"691","WWP2"
"692","TMED5"
"693","VPS26B"
"694","HMBS"
"695","USP8"
"696","SPRR1A"
"697","ERI1"
"698","ERBB3"
"699","CGN"
"700","SNAP29"
"701","ZNF25"
"702","NSMCE2"
"703","TIMM8A"
"704","VWA8"
"705","ZFHX2"
"706","SOCS7"
"707","BNIP3L"
"708","CTNNBIP1"
"709","NRIP3"
"710","SMG8"
"711","TMEM25"
"712","LINC00273"
"713","RBM24"
"714","CTSH"
"715","HNRNPA1L2"
"716","LINC00958"
"717","LHFPL2"
"718","ERI2"
"719","HDAC8"
"720","NR4A3"
"721","TBPL1"
"722","PSCA"
"723","TSTD3"
"724","C8orf37"
"725","C16orf74"
"726","PRDM6"
"727","KCNG1"
"728","TRAPPC10"
"729","SLC47A1"
"730","CATSPER1"
"731","TECPR2"
"732","CCDC22"
"733","FER1L6"
"734","ECT2"
"735","NADK2"
"736","ANKRD66"
"737","BDP1"
"738","TMOD2"
"739","PSMC4"
"740","MGST1"
"741","FRMD4B"
"742","FASTKD3"
"743","MPP2"
"744","UBIAD1"
"745","TMEM64"
"746","RPGRIP1L"
"747","B3GALNT2"
"748","NFKBID"
"749","MIR205"
"750","ASCC3"
"751","EEF1A1"
"752","PI4KAP1"
"753","ZBTB21"
"754","ABCC5"
"755","GMPPA"
"756","PCDHGA6"
"757","RMND1"
"758","SNORD116-4"
"759","FZD10"
"760","PIPSL"
"761","ARID2"
"762","TUBAL3"
"763","FAM86B1"
"764","FOXL2NB"
"765","FLT3LG"
"766","GADD45GIP1"
"767","GLB1L"
"768","PRPF39"
"769","SVIP"
"770","BBS7"
"771","AGAP6"
"772","CAPN15"
"773","ACP2"
"774","RBM10"
"775","EME1"
"776","STARD9"
"777","MKNK2"
"778","MICA"
"779","RPL24"
"780","CENPI"
"781","ERICH1"
