,x
1202,ZNF546
1203,GOLGA6L5P
1204,SNORA44
1205,GALR2
1206,ZNF780B
1207,CEP95
1208,PCCA
1209,ALMS1
1210,ZNF286B
1211,CENPC
1212,TMEM178B
1213,PMFBP1
1214,C10orf99
1215,LRRC37A4P
1216,ANKRD19P
1217,RMDN2
1218,ALG13
1219,STX1B
1220,MEF2C
1221,ZNF678
1222,ALG1L2
1223,ZNF107
1224,SNORA64
1225,DDX46
1226,RIMKLB
1227,NBPF15
1228,SCIN
1229,CCBE1
1230,ITGB1BP2
1231,PKDCC
1232,SOX15
1233,KIF5C
1234,ZNF674
1235,GANC
1236,CUBN
1237,CILP
1238,ZNF136
1239,ACADL
1240,SPAG17
1241,ABCA5
1242,CHD1
1243,ZNF112
1244,WSB1
1245,SLC26A8
1246,HERC2P4
1247,SNORD26
1248,CHL1
1249,DDX43
1250,MUC16
1251,EML5
1252,PDE1A
1253,WHAMMP2
1254,TRPM6
1255,STXBP4
1256,SEC16B
1257,WDR72
1258,ZNF100
1259,ZNF354A
1260,ZNF23
1261,EAF2
1262,CNTN3
1263,PLEKHH2
1264,FTH1P3
1265,HNF1A
1266,UCP3
1267,CEP83
1268,ZNF37A
1269,PFKFB1
1270,GGT1
1271,FER1L5
1272,GFPT2
1273,PCLO
1274,ZNF404
1275,C8orf34
1276,LINC00926
1277,LOC101927391
1278,DONSON
1279,LINC01014
1280,CLNK
1281,MYO3B
1282,GORAB
1283,MLIP-IT1
1284,DSCC1
1285,CPNE7
1286,TMEM161B-AS1
1287,POC5
1288,GPR179
1289,LOC100506403
1290,SMCHD1
1291,IL17C
1292,ARHGEF38
1293,GRIK2
1294,WTAPP1
1295,MPDZ
1296,PARD3B
1297,NHS
1298,ULBP1
1299,SOX5
1300,SHPRH
1301,MATN2
1302,LOC100506124
1303,TAS2R3
1304,SNORA27
1305,CDSN
1306,SOD3
1307,C2CD4C
1308,LINC01123
1309,LINC00630
1310,CHRNA7
1311,TEKT3
1312,ZNF846
1313,KRBOX4
1314,DMXL2
1315,SNORA23
1316,PHACTR3
1317,CAPN3
1318,CEP170
1319,ZNF559
1320,LINC00284
1321,SRRM2
1322,PDXDC2P
1323,PRIMPOL
1324,ZNF418
1325,ZNF224
1326,SMG1
1327,ARID4A
1328,NR3C2
1329,SLC35G2
1330,ZNF44
1331,LIMS2
1332,LOC101926889
1333,HHIP-AS1
1334,AMIGO2
1335,SUSD4
1336,AR
1337,UNC79
1338,SOX21
1339,HOOK3
1340,CEP44
1341,NEB
1342,LRRIQ1
1343,PILRB
1344,C1orf112
1345,PAMR1
1346,ZBTB49
1347,ZNF767P
1348,MCM8
1349,CEP112
1350,DNAH1
1351,LOC101927322
1352,ANKRD6
1353,SLC1A2
1354,NBPF11
1355,HOXB-AS1
1356,LOC646214
1357,FAM135A
1358,SERPINA1
1359,GPRASP1
1360,ARHGAP26
1361,DZANK1
1362,ASRGL1
1363,UNC13A
1364,PRPF3
1365,ABCA6
1366,TNFSF12
1367,LRRC37A3
1368,BAZ2B
1369,UBE2Q2P1
1370,LIF
1371,FRMD5
1372,GRM4
1373,DOCK4
1374,MAP3K12
1375,IL11
1376,PMS2P5
1377,PRKD1
1378,KANK3
1379,ZNF841
1380,COMMD10
1381,STK3
1382,ANKRD36B
1383,L3MBTL4
1384,CHI3L2
1385,PAM16
1386,COL25A1
1387,N4BP2L2-IT2
1388,CHD9
1389,SERPINC1
1390,DNAH10
1391,SFI1
1392,CACNB4
1393,VPS13A
1394,AVIL
1395,LOC101927354
1396,PFDN4
1397,SREK1
1398,MYO3A
1399,ZNF226
1400,DPRXP4
1401,B4GALNT4
1402,RPL19P12
1403,HMSD
1404,ALOX12
1405,ARID4B
1406,DNAJC25
1407,C2CD5
1408,GREB1L
1409,KIAA1109
1410,ZNF91
1411,SNORA55
1412,CCP110
1413,ZNF471
1414,SYNE2
1415,SNORA21
1416,PRDM15
1417,KIF15
1418,GOLGA8A
1419,POLK
1420,TMOD4
1421,EXOC4
1422,PMS2P3
1423,SNORD27
1424,LOC100132077
1425,FOXJ1
1426,TLE6
1427,ZDHHC8P1
1428,REV1
1429,HYAL1
1430,ESR2
1431,EVI5
1432,ST3GAL3
1433,ANKRD18A
1434,LEKR1
1435,PLCB4
1436,LINC01239
1437,GSTA7P
1438,ATP6AP1L
1439,SLX4IP
1440,ZNF233
1441,ANKRD20A9P
1442,ZNF430
1443,NASP
1444,ATP9B
1445,ZNF273
1446,KRT6B
1447,PHIP
1448,POLN
1449,DNAH3
1450,HAUS3
1451,TRMT11
1452,MYO9A
1453,DTHD1
1454,SLC47A2
1455,PGAP1
1456,ZFP57
1457,MYOT
1458,CCDC154
1459,CCDC91
1460,ZFP69B
1461,CKAP2L
1462,LINC-PINT
1463,TTC3P1
1464,LOC100288069
1465,RASGRF2
1466,LOC101927468
1467,ZNF850
1468,VGF
1469,SDK1
1470,C6orf118
1471,SRSF7
1472,ARMCX5-GPRASP2
1473,FAM153A
1474,H19
1475,HSP90AB4P
1476,TMEM234
1477,METAP1D
1478,HOXC8
1479,SLC22A16
1480,ZDBF2
1481,LINC00520
1482,EDNRA
1483,MMP9
1484,C6orf222
1485,WHAMMP1
1486,ZSCAN23
1487,MUC4
1488,ULK4
1489,ZFP28
1490,C19orf18
1491,SNORA16A
1492,MIR7845
1493,ZNF610
1494,ZNF160
1495,KDR
1496,SRSF5
1497,TLN2
1498,ZNF75A
1499,TAF1A
1500,DISC1
1501,CCR7
1502,CLEC18A
1503,CCDC183
1504,JPH3
1505,UGGT2
1506,KRT81
1507,EXO1
1508,FBXW10
1509,LOC100133286
1510,MTUS2
1511,MYBPC1
1512,RFTN2
1513,LINC01279
1514,SEMA7A
